,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
Healthy ,0,-0.486939,-1.113261,9.864411,9.938967,7.022275,246.375473
Healthy ,0.0021472,-0.573081,-1.634896,9.735199,9.888144,10.090444,250.682877
Healthy ,0.0042943,-0.214158,-1.673181,9.993624,10.134985,9.580701,262.706116
Healthy ,0.0064415,-0.654437,-1.816751,9.285348,9.484016,11.748077,250.189774
Healthy ,0.0085886,-0.285942,-1.768894,9.759128,9.922264,10.404105,260.817566
Healthy ,0.0107358,-0.568295,-1.922035,9.208778,9.424371,12.278895,253.528427
Healthy ,0.012883,-0.654437,-1.634896,9.304491,9.469674,10.717316,248.184128
Healthy ,0.0150302,-0.56351,-1.888535,9.716056,9.913922,11.466368,253.385712
Healthy ,0.0171773,-0.34337,-1.984248,9.811769,10.016285,11.598158,260.182312
Healthy ,0.0193245,-0.649651,-1.826322,9.893126,10.081242,11.085906,250.418732
Healthy ,0.0214717,-0.850648,-1.778465,9.529416,9.731203,11.688384,244.437988
Healthy ,0.0236188,-0.678365,-1.96032,9.615558,9.836766,12.173899,250.911911
Healthy ,0.025766,-0.2668,-2.218745,9.491131,9.75067,13.249211,263.143219
Healthy ,0.0279131,-0.309871,-1.979463,9.347562,9.559875,12.09781,261.102966
Healthy ,0.0300603,-0.539581,-2.44367,9.247063,9.57971,15.143226,257.548431
Healthy ,0.0322074,-0.290728,-2.084747,9.15135,9.390309,12.953433,262.061035
Healthy ,0.0343546,-0.458226,-2.194817,9.026923,9.301211,13.949047,258.207397
Healthy ,0.0365018,-0.333799,-2.185245,9.012567,9.279713,13.781369,261.315125
Healthy ,0.038649,-0.620937,-1.974677,9.165708,9.396547,12.726284,252.544235
Healthy ,0.0407961,-0.434297,-1.744966,9.428918,9.598855,10.797291,256.023865
Healthy ,0.0429433,-0.386441,-1.232902,9.543773,9.630835,7.709888,252.596924
Healthy ,0.0450905,-0.611366,-1.338186,9.443274,9.557193,8.855256,245.446152
Healthy ,0.0472376,-0.53001,-1.204188,9.548559,9.638774,7.845202,246.24382
Healthy ,0.0493848,-0.539581,-0.964906,10.366904,10.425684,6.086985,240.785797
Healthy ,0.0515319,-0.726222,-1.280758,10.768898,10.869081,7.785228,240.445694
Healthy ,0.0536791,-1.066002,-0.998405,10.563115,10.66361,7.872228,223.124573
Healthy ,0.0558262,-0.439083,-0.543769,11.123036,11.144973,3.595428,231.079788
Healthy ,0.0579734,-1.056431,-0.122632,10.989038,11.040382,5.527865,186.621353
Healthy ,0.0601206,-0.879362,-0.797408,9.672985,9.745552,6.996389,222.201828
Healthy ,0.0622678,-0.2333,-0.806979,9.912268,9.947799,4.844037,253.875259
Healthy ,0.0644149,-0.67358,-1.381257,10.285548,10.399715,8.497591,244.003494
Healthy ,0.0665621,-0.53001,-1.811965,10.314262,10.485616,10.372419,253.695496
Healthy ,0.0687093,-0.582652,-1.610968,10.553544,10.691678,9.220064,250.116043
Healthy ,0.0708564,-0.759721,-1.371686,9.725628,9.85122,9.158754,241.019699
Healthy ,0.0730036,-0.271585,-1.945963,9.433703,9.636145,11.76519,262.054932
Healthy ,0.0751507,-0.199801,-2.099104,9.065208,9.30721,13.094306,264.562744
Healthy ,0.0772979,-0.08016,-2.003391,8.926425,9.148829,12.659295,267.70871
Healthy ,0.0794451,-0.333799,-2.166103,9.299706,9.554472,13.260963,261.239563
Healthy ,0.0815922,-0.649651,-2.271387,8.988638,9.293915,14.725884,254.038666
Healthy ,0.0837394,-0.606581,-2.032105,9.395418,9.631784,12.719477,253.3797
Healthy ,0.0858866,-0.917647,-2.099104,9.639486,9.907977,13.368886,246.386902
Healthy ,0.0880338,-0.372084,-2.458027,9.495916,9.815945,14.670768,261.392212
Healthy ,0.0901809,-0.396012,-2.084747,9.739985,9.968465,12.290821,259.244415
Healthy ,0.0923281,-0.726222,-1.721038,9.275777,9.461998,11.386122,247.121841
Healthy ,0.0944752,-0.597009,-2.089532,9.07478,9.331355,13.467062,254.054611
Healthy ,0.0966224,-0.290728,-2.003391,9.706485,9.915339,11.780706,261.742981
Healthy ,0.0987695,-0.486939,-1.625325,9.730413,9.877234,9.891275,253.322037
Healthy ,0.1009167,-1.051646,-1.395614,10.108479,10.258414,9.807965,233.000656
Healthy ,0.1030639,-0.271585,-1.481755,10.218549,10.328993,8.386257,259.613739
Healthy ,0.105211,-0.463011,-1.060619,9.74477,9.813248,6.772655,246.416412
Healthy ,0.1073582,-1.070788,-0.845265,9.821341,9.915634,7.907928,218.287048
Healthy ,0.1095054,-0.2668,-1.275973,10.156336,10.239651,7.313944,258.18988
Healthy ,0.1116525,-0.558724,-1.089332,10.30469,10.377161,6.775376,242.846481
Healthy ,0.1137997,-0.606581,-0.893121,10.424332,10.48009,5.912943,235.816849
Healthy ,0.1159469,-0.386441,-1.103689,10.55833,10.62289,6.320062,250.703033
Healthy ,0.118094,-0.510868,-0.869193,9.811769,9.863433,5.866851,239.555145
Healthy ,0.1202412,-0.295514,-1.118046,9.37149,9.442573,7.034751,255.19458
