Motor 2,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
Healthy Condition,0,2.09505,-1.15395,8.88405,9.200391,15.068294,331.154114
,0.0025051,2.253,-0.82905,8.76195,9.084884,15.322479,339.797607
,0.0050101,1.19595,-0.98205,8.826,8.960636,9.944751,320.609009
,0.0075152,-0.048,-1.023,8.841001,8.90012,6.607615,267.313599
,0.0100203,-0.40395,-0.66405,9.87195,9.902502,4.501891,238.687332
,0.0125252,-0.56895,-0.30195,10.120951,10.141426,3.641477,207.955536
,0.0150303,-0.81795,-0.28095,11.145,11.178507,4.437296,198.956604
,0.0175354,-0.68895,0.52005,10.62405,10.659059,4.644984,142.952881
,0.0200405,-0.77805,0.89805,11.463,11.524419,5.917947,130.904907
,0.0225455,-1.18005,0.46005,10.159051,10.237699,7.106525,158.701355
,0.0250505,-1.323,-0.027,10.87005,10.950299,6.940796,181.169144
,0.0275555,-0.99795,0.747,9.753,9.832341,7.283676,143.183884
,0.0300606,-1.34205,0.00105,9.934051,10.024294,7.69386,179.95517
,0.0325656,-1.51905,-0.522,8.38905,8.541438,10.83914,198.964554
,0.0350706,-1.515,-1.068,9.17595,9.361299,11.42046,215.181946
,0.0375758,-1.572,-2.061,9.267,9.622692,15.626918,232.665909
,0.0400809,-1.17495,-2.451,7.917,8.370591,18.9484,244.388077
,0.0425858,-0.07395,-1.449,8.88195,8.999673,9.277456,267.07843
,0.0450909,0.21495,-1.84305,8.001,8.213346,13.05687,276.652191
,0.0475959,2.18895,-1.48395,9.259951,9.630177,15.938781,325.86557
,0.0501009,2.82,-1.50105,9.56805,10.087276,18.463293,331.974182
,0.052606,2.454,-1.389,9.87495,10.269669,15.936903,330.489502
,0.055111,1.425,-1.197,9.835951,10.010463,10.714101,319.969727
,0.057616,0.057,-0.64695,8.34105,8.366296,4.452191,275.035095
,0.0601211,-1.077,-0.03195,8.53005,8.597832,7.1992,181.699219
,0.0626262,-1.46895,0.13005,10.20495,10.310952,8.222754,174.940643
,0.0651311,-1.251,1.00305,11.073001,11.188497,8.239642,141.277405
,0.0676362,-1.31595,1.13505,12.583051,12.702489,7.863321,139.221146
,0.0701412,-1.45005,0.99105,12.078001,12.205037,8.273887,145.648987
,0.0726463,-1.51695,0.77595,10.771951,10.905877,8.98848,152.909363
